STATE,NO_CONTESTING_CANDIDATES,EDUCATION_INDEX,STANDARD_EDUCATION_LEVEL
NAGALAND,4,4.0,Post Graduate
DAMAN AND DIU,4,0.0,Literate
WEST BENGAL,466,3.0,Graduate
HIMACHAL PRADESH,57,3.0,Graduate
MEGHALAYA,9,3.0,Graduate
MANIPUR,19,3.0,Graduate
NATIONAL CAPITAL TERRITORY OF DELHI,159,3.0,Graduate
ANDHRA PRADESH,315,3.0,Graduate
ODISHA,173,3.0,Graduate
PUDUCHERRY,17,3.0,Graduate
JHARKHAND,227,3.0,Graduate
RAJASTHAN,249,3.0,Graduate
HARYANA,223,3.0,Graduate
SIKKIM,11,3.0,Graduate
GOA,12,3.0,Graduate
TRIPURA,23,3.0,Graduate
UTTAR PRADESH,932,3.0,Graduate
UTTARAKHAND,51,3.0,Graduate
ASSAM,144,3.0,Graduate
ARUNACHAL PRADESH,12,3.0,Graduate
MIZORAM,6,3.0,Graduate
PUNJAB,277,2.0,12th Pass
TAMIL NADU,804,2.0,12th Pass
ANDAMAN AND NICOBAR ISLANDS,15,2.0,12th Pass
MAHARASHTRA,836,2.0,12th Pass
LAKSHADWEEP,6,2.0,12th Pass
KERALA,220,2.0,12th Pass
KARNATAKA,469,2.0,12th Pass
JAMMU AND KASHMIR,79,2.0,12th Pass
DADRA AND NAGAR HAVELI,11,2.0,12th Pass
CHHATTISGARH,165,2.0,12th Pass
CHANDIGARH,36,2.0,12th Pass
BIHAR,655,2.0,12th Pass
MADHYA PRADESH,434,2.0,12th Pass
GUJARAT,371,1.0,10th Pass
TELANGANA,439,1.0,10th Pass
