STATE,INDEX,LITERACY_RATE,SEAT_SHARE,CURRENT_VOTER_TURNOUT,PREVIOUS_VOTER_TURNOUT,NO_OF_PHASES,STATE_CODE
ANDAMAN AND NICOBAR ISLANDS,1,0.8627,0.002,0.6518,0.70666,1,U01
ANDHRA PRADESH,2,0.674,0.046,0.7988,0.746414,1,S01
ARUNACHAL PRADESH,3,0.6695,0.004,0.7738,0.791246,1,S02
ASSAM,4,0.7318,0.026,0.8152,0.801179,3,S03
BIHAR,5,0.6382,0.073,0.58068,0.562576,7,S04
CHANDIGARH,6,0.8643,0.002,0.6357,0.73708,1,U02
CHHATTISGARH,7,0.7104,0.02,0.7148,0.693875,3,S26
DADRA AND NAGAR HAVELI,8,0.7765,0.002,0.7959,0.840928,1,U03
DAMAN AND DIU,9,0.8707,0.002,0.7183,0.780071,1,U04
GOA,10,0.874,0.004,0.7498,0.770605,1,S05
GUJARAT,11,0.7931,0.048,0.6411,0.636642,1,S06
HARYANA,12,0.7664,0.018,0.6834,0.714486,1,S07
HIMACHAL PRADESH,13,0.8378,0.007,0.704,0.644523,1,S08
JAMMU AND KASHMIR,14,0.6874,0.011,0.29394,0.497212,5,S09
JHARKHAND,15,0.6763,0.026,0.66655,0.63817,4,S27
KARNATAKA,16,0.756,0.051,0.6863,0.672013,2,S10
KERALA,17,0.9391,0.037,0.7767,0.7394,1,S11
LAKSHADWEEP,18,0.9228,0.002,0.8496,0.866191,1,U06
MADHYA PRADESH,19,0.7063,0.053,0.71045,0.616112,4,S12
MAHARASHTRA,20,0.8291,0.088,0.6079,0.603232,4,S13
MANIPUR,21,0.7985,0.004,0.8275,0.79754,2,S14
MEGHALAYA,22,0.7548,0.004,0.7132,0.688021,1,S15
MIZORAM,23,0.9158,0.002,0.6306,0.619454,1,S16
NAGALAND,24,0.8011,0.002,0.8309,0.87911,1,S17
NATIONAL CAPITAL TERRITORY OF DELHI,25,0.8634,0.013,0.5973,0.651014,1,U05
ODISHA,26,0.7345,0.039,0.7306,0.737864,4,S18
PUDUCHERRY,27,0.8655,0.002,0.8121,0.821043,1,U07
PUNJAB,28,0.7668,0.024,0.6471,0.706313,1,S19
RAJASTHAN,29,0.6706,0.046,0.659,0.631096,2,S20
SIKKIM,30,0.822,0.002,0.7881,0.836354,1,S21
TAMIL NADU,31,0.8033,0.072,0.7201,0.737447,1,S22
TELANGANA,32,0.665,0.031,0.6253,0.70666,1,S29
TRIPURA,33,0.8775,0.004,0.832,0.8472,2,S23
UTTAR PRADESH,34,0.6972,0.147,0.59561421,0.5835,7,S24
UTTARAKHAND,35,0.7963,0.009,0.6148,0.6166,1,S28
WEST BENGAL,36,0.7708,0.077,0.80611421,0.8216,7,S25
